deposit_id	deposit_type	deposit_createdate	deposit_publicationdate	deposit_parent_dataverse	user_account_id_of_deposit	user_account_createdate	user_account_type	affiliation	account_email_domain
2914349	Dataset	2016-11-08	2017-03-27	2867131	6118	2000-01-01	builtin	Florida State University	fsu.edu
2910282	Dataset	2016-10-26	2016-10-26	2962851	387	2000-01-01	builtin	Mills College / Harvard CGA	post.harvard.edu
2917248	Dataset	2016-11-10	2016-12-03	258	6779	2000-01-01	shib	University of Wisconsin-Madison	WISC.EDU
2917736	Dataset	2016-11-17	2016-11-17	2917735	5568	2000-01-01	builtin	Bioversity International	cgiar.org
2914257	Dataset	2016-11-08	2016-11-08	1345	955	2000-01-01	builtin	The University of Georgia	gmail.com
2911367	Dataset	2016-11-01	2016-11-01	2701505	12985	2000-01-01	builtin	HCPDS	hsph.harvard.edu
2911324	Dataset	2016-11-01	2016-11-01	2701505	12985	2000-01-01	builtin	HCPDS	hsph.harvard.edu
2911338	Dataset	2016-11-01	2016-11-01	2701505	12985	2000-01-01	builtin	HCPDS	hsph.harvard.edu
2914112	Dataset	2016-11-05	2017-03-27	2867131	15927	2000-01-01	builtin	University of Miami	miami.edu
2911254	Dataset	2016-11-01	2016-11-01	2701507	12985	2000-01-01	builtin	HCPDS	hsph.harvard.edu
2889734	Dataset	2016-10-02	2016-10-02	2668662	14084	2000-01-01	shib	Harvard University	harvard.edu
2890298	Dataset	2016-10-04	2016-10-04	693	1598	2000-01-01	builtin	University of Pittsburgh	pitt.edu 
2891940	Dataset	2016-10-05	2016-10-07	2961	7147	2000-01-01	builtin	University of Arizona	email.arizona.edu
2898313	Dataset	2016-10-06	2016-10-06	2891947	9016	2000-01-01	builtin	The Johns Hopkins University	cs.jhu.edu
2905838	Dataset	2016-10-24	2016-10-25	2961	3696	2000-01-01	builtin	Texas A&M University	umich.edu
2910751	Dataset	2016-10-28	2017-01-03	2696419	1879	2000-01-01	builtin	Indiana University	indiana.edu
2910292	Dataset	2016-10-27	2016-11-14	1	15821	2000-01-01	builtin	University of Nottingham	nottingham.ac.uk
2910300	Dataset	2016-10-27	2016-12-16	2910299	15652	2000-01-01	builtin	University of Houston	uh.edu
2911432	Dataset	2016-11-02	2016-11-02	2903897	15714	2000-01-01	builtin	University	hotmail.com
3355840	Dataset	2019-02-11	2019-05-27	3355839	26877	2019-02-11	builtin	Chonnam National University Hospital	hanmail.net
2966745	Dataset	2016-12-23	2016-12-23	2966744	386	2000-01-01	builtin	Diamond Bay Research	gmail.com
2964111	Dataset	2016-12-11	2017-02-23	1419	9950	2000-01-01	builtin	Denison University	denison.edu
2968576	Dataset	2016-12-31	2017-01-03	2965929	11446	2000-01-01	shib	Harvard University	hsph.harvard.edu
2961939	Dataset	2016-11-29	2017-04-18	2972	16220	2000-01-01	builtin	University of Bristol	bristol.ac.uk
2961941	Dataset	2016-11-29	2017-04-18	2972	16221	2000-01-01	builtin	University of Exeter	exeter.ac.uk
2962252	Dataset	2016-11-30	2017-06-06	2972	16233	2000-01-01	builtin	CICERO Center for Climate Research - Oslo & Department  of Political Science, University of Oslo	cicero.oslo.no
2962318	Dataset	2016-12-01	2016-12-01	2962316	5568	2000-01-01	builtin	Bioversity International	cgiar.org
2964469	Dataset	2016-12-13	2017-01-09	2964468	16424	2000-01-01	builtin	Tulane University	tulane.edu
